RASIZE,nopred-min,nopred,nopred-max
32,12.05,12.06,12.1
128,12.03,12.09,12.27
256,12.03,12.07,12.12
512,12.03,12.08,12.18
2048,12.02,12.06,12.13
4096,12.02,12.08,12.26
8192,12.05,12.07,12.12
16384,12.06,12.08,12.13
32768,12.04,12.09,12.15
268435455,12.07,12.12,12.29
