RASIZE,nopred-min,nopred,nopred-max
32,148.31,148.98,149.56
128,148.69,149.88,151.11
256,148.42,149.68,151.17
512,148.5,149.66,151.35
2048,148.47,149.60,151.36
4096,148.32,149.62,150.55
8192,148.55,150.13,152.94
16384,147.78,148.96,150.09
32768,148.46,149.52,150.86
65536,148.1,149.41,150.66
131072,147.72,149.43,151.45
268435455,148.02,149.67,153.16
