RASIZE,nopred-min,nopred,nopred-max
32,6.26,6.37,6.85
128,6.23,6.30,6.34
256,6.25,6.27,6.32
512,6.23,6.27,6.32
2048,6.26,6.27,6.31
4096,6.26,6.30,6.35
8192,6.25,6.31,6.35
16384,6.27,6.31,6.35
32768,6.28,6.33,6.39
268435455,6.31,6.34,6.39
