RASIZE,nopred-min,nopred,nopred-max
32,2328.3,2337.71,2347.2
128,2313.6,2332.90,2348.1
256,2322.9,2338.52,2352.5
512,2319.7,2334.82,2344.6
2048,2312.3,2328.86,2343.5
4096,2311.3,2333.61,2346.3
8192,2319.8,2337.13,2349.8
16384,2326.1,2343.09,2349.4
32768,2325.5,2340.24,2350.3
65536,2322.9,2336.86,2351.0
131072,2320.8,2338.19,2349.2
268435455,2324.8,2341.40,2353.2
