RASIZE,nopred-min,nopred,nopred-max
32,28.66,28.81,28.98
128,28.65,28.80,29.05
256,28.66,28.81,28.98
512,28.62,28.74,28.93
2048,28.55,28.85,29.18
4096,28.65,28.79,29.03
8192,28.63,28.74,28.88
16384,28.67,28.82,29.01
32768,28.72,28.82,29
65536,28.65,28.90,29.29
131072,28.61,28.82,29
268435455,28.61,28.84,29.06
