RASIZE,nopred-min,nopred,nopred-max
32,24.28,24.82,25.55
128,24.66,24.75,24.9
256,24.69,24.77,24.89
512,24.62,24.75,24.93
2048,24.72,24.81,24.95
4096,24.65,24.81,25.19
8192,24.67,24.75,24.85
16384,24.76,24.83,24.91
32768,24.72,24.82,24.99
65536,24.7,24.86,25.01
131072,24.77,24.87,24.98
268435455,24.67,24.82,25.09
