RASIZE,nopred-min,nopred,nopred-max
32,1341.6,1350.71,1357.4
128,1332.9,1353.84,1368.3
256,1334.6,1352.58,1373.2
512,1328.1,1353.61,1378.1
2048,1345.5,1355.78,1368.8
4096,1334.8,1348.00,1366.1
8192,1312.1,1349.76,1375.4
16384,1322.2,1346.59,1363.2
32768,1330.3,1354.94,1377.6
65536,1344.4,1358.87,1369.9
131072,1329.5,1353.67,1370.0
268435455,1332.9,1348.53,1371.4
