RASIZE,nopred-min,nopred,nopred-max
32,150.15,150.88,151.92
128,148.94,150.54,152.9
256,148.41,150.67,152.7
512,147.9,150.56,153.43
2048,148.88,150.32,151.49
4096,149.18,151.19,152.68
8192,148.19,151.02,155.33
16384,149.52,151.38,154.17
32768,147.98,150.46,153.25
65536,148.81,150.02,151.64
131072,148.78,150.60,153.32
268435455,148.65,151.17,152.93
