RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,354.84,358.01,360.86,358.83,360.24,361.1
64,349.44,352.00,354.98,353.79,354.47,355.09
128,349.39,352.31,353.43,354.42,355.48,356.45
256,338.03,343.06,346.32,346.56,347.76,349.18
512,352.88,360.22,363.01,358.18,358.97,359.59
1024,355.34,357.21,358.5,356.53,357.04,357.48
2048,354.06,355.23,356.44,353.78,354.95,355.6
268435455,1093.21,1279.31,1420.84,866.26,999.49,1106.77
