# reader Vanilla OSonly Cross_Info CII
1 963 1382.5 1522.7 1509
4 2407.2 2893.7 2939 2889
8 3991.2 5288.2 5375.7 5375.3
16 6931.5 10374.8 10414.9 10434.2
32 11181.8 19567.1 19680.2 19774.9
