# reader Vanilla OSonly Cross_Info CII
1 125.6 197.7 585.3 579.4
4 1012.2 1312.4 1910.7 1836.9
8 2511.2 2926.1 3577 3569.3
16 5444.9 6143.7 6960.2 6963.3
32 10651.2 11032.8 11846.3 11828.7
