# reader Vanilla OSonly Cross_Info CII
1 393.8 409.9 530.7 529.1
4 1390.6 1456.5 1815 1811.6
8 2806.4 3018 3539 3524.4
16 5718.8 6226.5 6906.6 6905.8
32 10663.6 11073.7 11701.1 11769.8
