AppThreads,CBNBB-min,CBNBB-avg,CBNBB-max
1,418.3,694.38,878.2
2,175.5,1037.78,1345.6
4,746.1,1967.96,2291.3
8,1348.8,3249.92,3795.5
16,6414.9,6518.10,6587.1
