reader	Vanilla	OSonly	CIP	CIPI	CII
seqread	718	678	756	765	791
randread	8	8	52	37	98
mongo	959	968	927	993	984
streamread	1194	1100	1160	1183	875
rread	3	3	3	6	6
videoserve	413	430	438	641	461
fileserve	0	0	0	0	0
