reader	Vanilla	OSonly	CIP	CIPI	CII
seqread	772	674	812	685	814
randread	8	9	49	37	98
mongo	1046	1053	969	921	933
streamread	1106	874	922	1165	768
rread	3	4	3	5	0
videoserve	570	551	423	493	428
fileserve	0	0	0	0	0
