reader	Vanilla	OSonly	CIP	CIPI	CII
seqread	775	747	743	706	749
randread	9	9	52	45	84
mongo	951	1004	958	997	1136
streamread	1105	943	1069	1171	727
rread	4	4	3	4	0
videoserve	556	523	541	510	432
fileserve	0	0	0	0	0
