RASIZE,nopred-min,nopred,nopred-max,pred-min,pred,pred-max
32,337.09,339.78,342.78,336.83,337.66,338.98
64,342.64,345.58,348.13,342.55,343.23,344.07
128,344.15,345.27,348.21,341.25,342.20,343.21
256,351.29,354.59,359.84,348.37,349.81,351.12
512,335.09,337.70,344.67,338.27,338.90,339.66
1024,339.33,340.56,342.43,340.41,340.71,341.17
2048,341.24,342.43,343.53,342.04,342.69,343.82
268435455,85.59,95.69,111.24,109.88,122.50,140.39
