AppThreads,CPNV-min,CPNV-avg,CPNV-max
1,664.29,664.87,666.40
2,1209.19,1212.67,1215.02
4,2035.55,2038.78,2040.75
8,3048.94,3055.18,3057.99
16,3388.88,3392.37,3395.01
