AppThreads,OSONLY-min,OSONLY-avg,OSONLY-max
1,625.44,626.06,626.73
2,1151.72,1155.13,1159.09
4,1978.68,1981.68,1986.15
8,3048.31,3051.03,3052.90
16,3394.29,3396.91,3399.50
