# reader Vanilla OSonly Cross_Info CII CIP
1 25482 40829 140830 135028 0
4 215145 284291 418665 408969 295442
8 550465 653318 801184 807088 624790
16 1211995 1322130 1501002 1494044 0
32 1789896 1832110 1915191 1920761 1772629
