# reader Vanilla OSonly Cross_Info CII CIP
1 25265 40240 135925 134970 50899
4 211361 277968 403634 408669 284768
8 536466 634391 783064 782402 609534
16 1184362 1276375 1461542 1457681 1234270
32 1787991 1822179 1919108 1909022 0
