# reader Vanilla OSonly Cross_Info CII CIP
1 169101 176287 248270 248554 168865
4 368364 398938 514134 516394 388121
8 688658 747211 898225 895132 726888
16 1320899 1406446 1560851 1561371 1350927
32 1818147 1868801 1934248 1921326 0
