AppThreads,CFNMB-min,CFNMB-avg,CFNMB-max
1,764.4,794.94,823.9
2,970.1,991.18,1020.2
4,1570.2,1599.94,1632.9
8,2891.5,2905.10,2941.6
16,5396.3,5419.78,5449.5
