AppThreads,CNI-min,CNI-avg,CNI-max
1,1250.0,1320.62,1341.0
2,1475.2,1553.46,1633.2
4,2801.3,2819.22,2849.1
8,5084.5,5126.34,5142.1
16,10024.2,10053.74,10080.3
