AppThreads,VANILLA-min,VANILLA-avg,VANILLA-max
1,930.4,933.56,938.6
2,1329.7,1379.08,1441.6
4,2400.4,2429.00,2476.0
8,3904.7,3917.90,3945.3
16,6838.0,6855.54,6870.4
