AppThreads,CPNI-min,CPNI-avg,CPNI-max
1,1299.9,1343.48,1375.4
2,1523.2,1550.62,1579.2
4,2682.0,2766.86,2805.9
8,3765.6,4811.08,5080.7
16,--sync=0,,9912.3
